open,high,low,close,volume,symbol,date,ta
65.0,72.1,60.0,70.0,59867551,ALE,2020-10-12,0
72.0,80.0,71.08,80.0,18452974,ALE,2020-10-13,0
84.0,90.3,71.25,75.96,16731591,ALE,2020-10-14,0
76.0,80.0,71.52,79.22,6235974,ALE,2020-10-15,0
80.0,85.44,79.25,81.45,15480831,ALE,2020-10-16,0
81.45,83.62,79.8,83.4,3205087,ALE,2020-10-19,0
83.45,85.6,83.33,85.0,3048042,ALE,2020-10-20,0
85.99,85.99,82.12,84.17,2734889,ALE,2020-10-21,0
83.84,89.0,83.72,85.37,5133134,ALE,2020-10-22,0
86.37,89.0,85.43,89.0,30874654,ALE,2020-10-23,0
89.0,92.86,85.5,91.7,2752483,ALE,2020-10-26,0
91.6,98.78,90.4,94.64,3996495,ALE,2020-10-27,0
94.64,96.55,82.1,87.67,4158058,ALE,2020-10-28,0
88.0,90.37,84.63,85.94,1854893,ALE,2020-10-29,0
85.0,86.8,80.0,80.45,1850831,ALE,2020-10-30,0
81.2,85.44,81.18,84.17,2942285,ALE,2020-11-02,0
85.4,85.5,82.12,83.69,1908419,ALE,2020-11-03,0
83.0,87.2,82.5,86.59,2026196,ALE,2020-11-04,0
88.3,89.6,86.7,87.56,1296652,ALE,2020-11-05,0
88.0,93.0,87.87,92.13,2860026,ALE,2020-11-06,0
94.0,95.3,84.6,90.61,4577919,ALE,2020-11-09,0
89.0,89.0,82.62,82.75,4475543,ALE,2020-11-10,0
84.41,84.6,79.45,79.5,4993858,ALE,2020-11-12,0
79.95,80.36,74.7,75.88,3626856,ALE,2020-11-13,0
76.05,76.48,72.11,72.39,2730979,ALE,2020-11-16,0
71.2,71.44,67.4,67.89,4080037,ALE,2020-11-17,0
67.8,69.99,65.3,67.3,3151660,ALE,2020-11-18,0
67.67,71.9,67.45,71.9,2647711,ALE,2020-11-19,0
73.29,79.45,72.74,78.32,3325301,ALE,2020-11-20,0
79.6,81.62,75.0,76.6,2947478,ALE,2020-11-23,0
76.6,79.2,73.46,78.27,2364059,ALE,2020-11-24,0
75.5,79.34,75.02,79.34,2028319,ALE,2020-11-25,0
77.0,77.32,74.0,74.2,1938984,ALE,2020-11-26,0
72.68,76.0,70.7,75.0,1889733,ALE,2020-11-27,0
75.0,77.6,74.32,77.07,3324698,ALE,2020-11-30,0
78.5,78.5,75.01,75.01,1038188,ALE,2020-12-01,0
74.2,75.87,74.0,75.2,1106902,ALE,2020-12-02,0
75.6,76.4,74.8,74.8,1437814,ALE,2020-12-03,0
74.8,75.86,74.6,75.5,2174870,ALE,2020-12-04,0
75.5,75.5,72.6,74.45,2401460,ALE,2020-12-07,0
