index,open,high,low,close,volume,symbol,date,ta
0,70.7335,71.0788,70.1246,70.6017,526813.10812832,PKN,2019-12-30,0
2,71.1614,71.8029,70.5033,71.5393,783654.35699501,PKN,2020-01-02,0
4,71.1614,71.2757,69.7625,70.5191,886384.48356385,PKN,2020-01-03,0
6,70.6518,70.7335,67.5904,67.7064,1893473.1672429,PKN,2020-01-07,0
8,67.4762,67.9858,66.883,67.0807,961299.97599656,PKN,2020-01-08,0
10,68.0359,69.6808,67.7064,69.6474,1485422.7770549,PKN,2020-01-09,0
12,69.9269,70.3715,69.5323,70.2889,780506.5611593,PKN,2020-01-10,0
14,70.7335,71.1122,70.2889,71.0138,1699462.6515973,PKN,2020-01-13,0
16,70.766,71.1122,69.5491,70.2397,2881679.6280347,PKN,2020-01-14,0
18,69.9436,70.4699,69.6474,69.9937,2737052.8623872,PKN,2020-01-15,0
20,70.2722,70.7503,69.7793,70.4049,1280752.3179555,PKN,2020-01-16,0
22,69.9269,71.2432,69.9269,70.947,857696.97907125,PKN,2020-01-17,0
24,70.5525,70.947,70.5191,70.5358,580009.26450734,PKN,2020-01-20,0
26,70.4541,70.9145,69.8118,69.8776,995651.46453628,PKN,2020-01-21,0
28,70.5191,70.7503,69.9269,69.9269,788114.30344481,PKN,2020-01-22,0
30,69.8451,71.3916,69.8451,70.3223,1779921.496711,PKN,2020-01-23,0
32,70.6351,71.1614,70.3557,70.3557,716046.16646436,PKN,2020-01-24,0
34,69.7625,70.3056,67.9357,67.9357,1177645.5028756,PKN,2020-01-27,0
36,68.2819,68.463,66.7846,67.1466,1828842.0677846,PKN,2020-01-28,0
38,67.3777,67.5904,64.761,65.2214,1902826.6502413,PKN,2020-01-29,0
40,62.5237,64.152,61.5361,62.5237,2358362.5534593,PKN,2020-01-30,0
42,62.5237,62.6221,61.3059,62.2434,2028600.7818273,PKN,2020-01-31,0
44,62.0949,62.1942,59.0844,60.0546,2430836.9677764,PKN,2020-02-03,0
46,60.5159,61.7004,60.3024,61.2399,1297424.4831736,PKN,2020-02-04,0
48,61.2892,63.2144,60.7953,63.0334,1530955.4275924,PKN,2020-02-05,0
50,63.2469,63.9051,60.7294,60.7953,1168150.9039395,PKN,2020-02-06,0
52,60.7953,61.5036,59.8911,61.5036,965517.52168244,PKN,2020-02-07,0
54,60.993,61.0915,59.2655,59.6934,1980726.061937,PKN,2020-02-10,0
56,59.6442,60.8779,58.3929,60.7787,2904830.6080368,PKN,2020-02-11,0
58,60.8779,61.5036,60.3182,61.2399,1371101.7970563,PKN,2020-02-12,0
60,61.2074,61.355,59.8085,61.355,752836.45705611,PKN,2020-02-13,0
62,61.7004,63.0659,61.7004,62.5237,1691117.4647342,PKN,2020-02-14,0
64,63.1652,63.4288,62.1283,62.3585,448002.13299654,PKN,2020-02-17,0
66,61.7004,62.9015,61.5361,62.1125,1488877.8414646,PKN,2020-02-18,0
68,62.1125,62.3418,60.2689,60.4166,1964091.4517668,PKN,2020-02-19,0
70,60.4667,60.6477,59.6442,59.9561,1582361.46002,PKN,2020-02-20,0
72,59.6767,60.6477,59.595,60.3024,1041237.6025663,PKN,2020-02-21,0
74,59.3146,59.4966,57.0766,57.4228,1247846.1297453,PKN,2020-02-24,0
76,57.4228,57.8174,56.1883,56.2049,1731629.1191664,PKN,2020-02-25,0
78,56.1715,56.4677,54.2137,54.7902,1845465.2976372,PKN,2020-02-26,0
80,54.4282,54.806,49.1137,50.1006,1679106.6775867,PKN,2020-02-27,0
82,48.9485,49.1629,45.28,48.2412,3695161.7973413,PKN,2020-02-28,0
84,50.5943,51.17,48.9986,49.8211,2476886.2847309,PKN,2020-03-02,0
86,50.8413,51.6647,49.8703,51.2191,2192964.4322104,PKN,2020-03-03,0
88,51.0065,51.0065,48.5707,48.5707,2062131.7494713,PKN,2020-03-04,0
90,49.6902,49.8536,46.5303,46.7772,2118256.0615572,PKN,2020-03-05,0
92,46.2834,46.4812,44.0295,44.7035,2170336.9468158,PKN,2020-03-06,0
94,41.1342,46.1683,40.542,44.6218,3801219.5287632,PKN,2020-03-09,0
96,45.9548,46.3001,42.0059,42.3019,2677970.8057687,PKN,2020-03-10,0
98,42.5489,43.1746,37.9251,38.2292,2575810.8331094,PKN,2020-03-11,0
100,36.5763,37.7933,34.5518,35.7371,2883408.2982713,PKN,2020-03-12,0
102,36.5262,42.2686,35.7205,37.5798,3351602.5287057,PKN,2020-03-13,0
104,37.5877,40.5577,35.1036,39.4884,3566754.2602732,PKN,2020-03-16,0
106,40.838,42.3679,39.0771,40.6896,3503467.1763181,PKN,2020-03-17,0
108,41.1342,42.2853,38.6659,39.382,2552311.6153901,PKN,2020-03-18,0
110,39.8996,41.7097,39.2581,41.5454,2258724.4591701,PKN,2020-03-19,0
112,43.3547,44.1614,42.5164,43.2562,4288261.8411322,PKN,2020-03-20,0
114,42.7791,43.9144,40.4014,40.903,1677119.6741416,PKN,2020-03-23,0
